target entry name	locus type
WeinellEntry2609	UCE
WeinellEntry2610	UCE
WeinellEntry2611	UCE
WeinellEntry2612	UCE
WeinellEntry2613	UCE
WeinellEntry2614	UCE
WeinellEntry2615	UCE
WeinellEntry2616	UCE
WeinellEntry2617	UCE
WeinellEntry2618	UCE
WeinellEntry2619	UCE
WeinellEntry2620	UCE
WeinellEntry2621	UCE
WeinellEntry2622	UCE
WeinellEntry2623	UCE
WeinellEntry2624	UCE
WeinellEntry2625	UCE
WeinellEntry2626	UCE
WeinellEntry2627	UCE
WeinellEntry2628	UCE
WeinellEntry2629	UCE
WeinellEntry2630	UCE
WeinellEntry2631	UCE
WeinellEntry2632	UCE
WeinellEntry2633	UCE
WeinellEntry2634	UCE
WeinellEntry2635	UCE
WeinellEntry2636	UCE
WeinellEntry2637	UCE
WeinellEntry2638	UCE
WeinellEntry2639	UCE
WeinellEntry2640	UCE
WeinellEntry2641	UCE
WeinellEntry2642	UCE
WeinellEntry2643	UCE
WeinellEntry2644	UCE
WeinellEntry2645	UCE
WeinellEntry2646	UCE
WeinellEntry2647	UCE
WeinellEntry2648	UCE
WeinellEntry2649	UCE
WeinellEntry2650	UCE
WeinellEntry2651	UCE
WeinellEntry2652	UCE
WeinellEntry2653	UCE
WeinellEntry2654	UCE
WeinellEntry2655	UCE
WeinellEntry2656	UCE
WeinellEntry2657	UCE
WeinellEntry2658	UCE
WeinellEntry2659	UCE
WeinellEntry2660	UCE
WeinellEntry2661	UCE
WeinellEntry2662	UCE
WeinellEntry2663	UCE
WeinellEntry2664	UCE
WeinellEntry2665	UCE
WeinellEntry2666	UCE
WeinellEntry2667	UCE
WeinellEntry2668	UCE
WeinellEntry2669	UCE
WeinellEntry2670	UCE
WeinellEntry2671	UCE
WeinellEntry2672	UCE
WeinellEntry2673	UCE
WeinellEntry2674	UCE
WeinellEntry2675	UCE
WeinellEntry2676	UCE
WeinellEntry2677	UCE
WeinellEntry2678	UCE
WeinellEntry2679	UCE
WeinellEntry2680	UCE
WeinellEntry2681	UCE
WeinellEntry2682	UCE
WeinellEntry2683	UCE
WeinellEntry2684	UCE
WeinellEntry2685	UCE
WeinellEntry2686	UCE
WeinellEntry2687	UCE
WeinellEntry2688	UCE
WeinellEntry2689	UCE
WeinellEntry2690	UCE
WeinellEntry2691	UCE
WeinellEntry2692	UCE
WeinellEntry2693	UCE
WeinellEntry2694	UCE
WeinellEntry2695	UCE
WeinellEntry2696	UCE
WeinellEntry2697	UCE
WeinellEntry2698	UCE
WeinellEntry2699	UCE
WeinellEntry2700	UCE
WeinellEntry2701	UCE
WeinellEntry2702	UCE
WeinellEntry2703	UCE
WeinellEntry2704	UCE
WeinellEntry2705	UCE
WeinellEntry2706	UCE
WeinellEntry2707	UCE
WeinellEntry2708	UCE
WeinellEntry2709	UCE
WeinellEntry2710	UCE
WeinellEntry2711	UCE
WeinellEntry2712	UCE
