"ScaffoldName"	"RefSeq.ScaffoldAccession"
"Thamnophis_sirtalis_GCF_001077635.1_read242"	"NW_013657921.1"
"Thamnophis_sirtalis_GCF_001077635.1_read243"	"NW_013657922.1"
"Thamnophis_sirtalis_GCF_001077635.1_read244"	"NW_013657923.1"
"Thamnophis_sirtalis_GCF_001077635.1_read245"	"NW_013657924.1"
"Thamnophis_sirtalis_GCF_001077635.1_read246"	"NW_013657925.1"
"Thamnophis_sirtalis_GCF_001077635.1_read247"	"NW_013657926.1"
"Thamnophis_sirtalis_GCF_001077635.1_read248"	"NW_013657927.1"
"Thamnophis_sirtalis_GCF_001077635.1_read249"	"NW_013657928.1"
"Thamnophis_sirtalis_GCF_001077635.1_read250"	"NW_013657929.1"
"Thamnophis_sirtalis_GCF_001077635.1_read251"	"NW_013657930.1"
"Thamnophis_sirtalis_GCF_001077635.1_read252"	"NW_013657931.1"
"Thamnophis_sirtalis_GCF_001077635.1_read253"	"NW_013657932.1"
"Thamnophis_sirtalis_GCF_001077635.1_read254"	"NW_013657933.1"
"Thamnophis_sirtalis_GCF_001077635.1_read255"	"NW_013657934.1"
"Thamnophis_sirtalis_GCF_001077635.1_read256"	"NW_013657935.1"
"Thamnophis_sirtalis_GCF_001077635.1_read257"	"NW_013657936.1"
"Thamnophis_sirtalis_GCF_001077635.1_read258"	"NW_013657937.1"
"Thamnophis_sirtalis_GCF_001077635.1_read259"	"NW_013657938.1"
"Thamnophis_sirtalis_GCF_001077635.1_read260"	"NW_013657939.1"
"Thamnophis_sirtalis_GCF_001077635.1_read261"	"NW_013657940.1"
"Thamnophis_sirtalis_GCF_001077635.1_read262"	"NW_013657941.1"
"Thamnophis_sirtalis_GCF_001077635.1_read263"	"NW_013657942.1"
"Thamnophis_sirtalis_GCF_001077635.1_read264"	"NW_013657943.1"
"Thamnophis_sirtalis_GCF_001077635.1_read265"	"NW_013657944.1"
"Thamnophis_sirtalis_GCF_001077635.1_read266"	"NW_013657945.1"
"Thamnophis_sirtalis_GCF_001077635.1_read267"	"NW_013657946.1"
"Thamnophis_sirtalis_GCF_001077635.1_read268"	"NW_013657947.1"
"Thamnophis_sirtalis_GCF_001077635.1_read269"	"NW_013657948.1"
"Thamnophis_sirtalis_GCF_001077635.1_read270"	"NW_013657949.1"
"Thamnophis_sirtalis_GCF_001077635.1_read271"	"NW_013657950.1"
"Thamnophis_sirtalis_GCF_001077635.1_read272"	"NW_013657951.1"
"Thamnophis_sirtalis_GCF_001077635.1_read273"	"NW_013657952.1"
"Thamnophis_sirtalis_GCF_001077635.1_read274"	"NW_013657953.1"
"Thamnophis_sirtalis_GCF_001077635.1_read275"	"NW_013657954.1"
"Thamnophis_sirtalis_GCF_001077635.1_read276"	"NW_013657955.1"
"Thamnophis_sirtalis_GCF_001077635.1_read277"	"NW_013657956.1"
"Thamnophis_sirtalis_GCF_001077635.1_read278"	"NW_013657957.1"
"Thamnophis_sirtalis_GCF_001077635.1_read279"	"NW_013657958.1"
"Thamnophis_sirtalis_GCF_001077635.1_read280"	"NW_013657959.1"
"Thamnophis_sirtalis_GCF_001077635.1_read281"	"NW_013657960.1"
"Thamnophis_sirtalis_GCF_001077635.1_read282"	"NW_013657961.1"
"Thamnophis_sirtalis_GCF_001077635.1_read283"	"NW_013657962.1"
"Thamnophis_sirtalis_GCF_001077635.1_read284"	"NW_013657963.1"
"Thamnophis_sirtalis_GCF_001077635.1_read285"	"NW_013657964.1"
"Thamnophis_sirtalis_GCF_001077635.1_read286"	"NW_013657965.1"
"Thamnophis_sirtalis_GCF_001077635.1_read287"	"NW_013657966.1"
"Thamnophis_sirtalis_GCF_001077635.1_read288"	"NW_013657967.1"
"Thamnophis_sirtalis_GCF_001077635.1_read289"	"NW_013657968.1"
"Thamnophis_sirtalis_GCF_001077635.1_read290"	"NW_013657969.1"
"Thamnophis_sirtalis_GCF_001077635.1_read291"	"NW_013657970.1"
"Thamnophis_sirtalis_GCF_001077635.1_read292"	"NW_013657971.1"
"Thamnophis_sirtalis_GCF_001077635.1_read293"	"NW_013657972.1"
"Thamnophis_sirtalis_GCF_001077635.1_read294"	"NW_013657973.1"
"Thamnophis_sirtalis_GCF_001077635.1_read295"	"NW_013657974.1"
"Thamnophis_sirtalis_GCF_001077635.1_read296"	"NW_013657975.1"
"Thamnophis_sirtalis_GCF_001077635.1_read297"	"NW_013657976.1"
"Thamnophis_sirtalis_GCF_001077635.1_read298"	"NW_013657977.1"
"Thamnophis_sirtalis_GCF_001077635.1_read299"	"NW_013657978.1"
"Thamnophis_sirtalis_GCF_001077635.1_read300"	"NW_013657979.1"
"Thamnophis_sirtalis_GCF_001077635.1_read301"	"NW_013657980.1"
"Thamnophis_sirtalis_GCF_001077635.1_read302"	"NW_013657981.1"
"Thamnophis_sirtalis_GCF_001077635.1_read303"	"NW_013657982.1"
"Thamnophis_sirtalis_GCF_001077635.1_read304"	"NW_013657983.1"
"Thamnophis_sirtalis_GCF_001077635.1_read305"	"NW_013657984.1"
"Thamnophis_sirtalis_GCF_001077635.1_read306"	"NW_013657985.1"
"Thamnophis_sirtalis_GCF_001077635.1_read307"	"NW_013657986.1"
"Thamnophis_sirtalis_GCF_001077635.1_read308"	"NW_013657987.1"
"Thamnophis_sirtalis_GCF_001077635.1_read309"	"NW_013657988.1"
"Thamnophis_sirtalis_GCF_001077635.1_read310"	"NW_013657989.1"
"Thamnophis_sirtalis_GCF_001077635.1_read311"	"NW_013657990.1"
"Thamnophis_sirtalis_GCF_001077635.1_read312"	"NW_013657991.1"
"Thamnophis_sirtalis_GCF_001077635.1_read313"	"NW_013657992.1"
"Thamnophis_sirtalis_GCF_001077635.1_read314"	"NW_013657993.1"
"Thamnophis_sirtalis_GCF_001077635.1_read315"	"NW_013657994.1"
"Thamnophis_sirtalis_GCF_001077635.1_read316"	"NW_013657995.1"
"Thamnophis_sirtalis_GCF_001077635.1_read317"	"NW_013657996.1"
"Thamnophis_sirtalis_GCF_001077635.1_read318"	"NW_013657997.1"
"Thamnophis_sirtalis_GCF_001077635.1_read319"	"NW_013657998.1"
"Thamnophis_sirtalis_GCF_001077635.1_read320"	"NW_013657999.1"
"Thamnophis_sirtalis_GCF_001077635.1_read321"	"NW_013658000.1"
"Thamnophis_sirtalis_GCF_001077635.1_read322"	"NW_013658001.1"
"Thamnophis_sirtalis_GCF_001077635.1_read323"	"NW_013658002.1"
"Thamnophis_sirtalis_GCF_001077635.1_read324"	"NW_013658003.1"
"Thamnophis_sirtalis_GCF_001077635.1_read325"	"NW_013658004.1"
"Thamnophis_sirtalis_GCF_001077635.1_read326"	"NW_013658005.1"
"Thamnophis_sirtalis_GCF_001077635.1_read327"	"NW_013658006.1"
"Thamnophis_sirtalis_GCF_001077635.1_read328"	"NW_013658007.1"
"Thamnophis_sirtalis_GCF_001077635.1_read329"	"NW_013658008.1"
"Thamnophis_sirtalis_GCF_001077635.1_read330"	"NW_013658009.1"
"Thamnophis_sirtalis_GCF_001077635.1_read331"	"NW_013658010.1"
"Thamnophis_sirtalis_GCF_001077635.1_read332"	"NW_013658011.1"
"Thamnophis_sirtalis_GCF_001077635.1_read333"	"NW_013658012.1"
"Thamnophis_sirtalis_GCF_001077635.1_read334"	"NW_013658013.1"
"Thamnophis_sirtalis_GCF_001077635.1_read335"	"NW_013658014.1"
"Thamnophis_sirtalis_GCF_001077635.1_read336"	"NW_013658015.1"
"Thamnophis_sirtalis_GCF_001077635.1_read337"	"NW_013658016.1"
"Thamnophis_sirtalis_GCF_001077635.1_read338"	"NW_013658017.1"
"Thamnophis_sirtalis_GCF_001077635.1_read339"	"NW_013658018.1"
"Thamnophis_sirtalis_GCF_001077635.1_read340"	"NW_013658019.1"
"Thamnophis_sirtalis_GCF_001077635.1_read341"	"NW_013658020.1"
"Thamnophis_sirtalis_GCF_001077635.1_read342"	"NW_013658021.1"
"Thamnophis_sirtalis_GCF_001077635.1_read343"	"NW_013658022.1"
"Thamnophis_sirtalis_GCF_001077635.1_read344"	"NW_013658023.1"
"Thamnophis_sirtalis_GCF_001077635.1_read345"	"NW_013658024.1"
"Thamnophis_sirtalis_GCF_001077635.1_read346"	"NW_013658025.1"
"Thamnophis_sirtalis_GCF_001077635.1_read347"	"NW_013658026.1"
"Thamnophis_sirtalis_GCF_001077635.1_read348"	"NW_013658027.1"
"Thamnophis_sirtalis_GCF_001077635.1_read349"	"NW_013658028.1"
"Thamnophis_sirtalis_GCF_001077635.1_read350"	"NW_013658029.1"
"Thamnophis_sirtalis_GCF_001077635.1_read351"	"NW_013658030.1"
"Thamnophis_sirtalis_GCF_001077635.1_read352"	"NW_013658031.1"
"Thamnophis_sirtalis_GCF_001077635.1_read353"	"NW_013658032.1"
"Thamnophis_sirtalis_GCF_001077635.1_read354"	"NW_013658033.1"
"Thamnophis_sirtalis_GCF_001077635.1_read355"	"NW_013658034.1"
