seqsPerLocus samplesPerLocus
supergroup1116 94 31
supergroup1117 31 29
supergroup1118 28 27
supergroup1119 36 24
supergroup1120 23 23
supergroup1121 31 26
supergroup1122 5 5
supergroup1123 3 3
supergroup1124 38 31
supergroup1125 44 31
supergroup1126 33 28
supergroup1127 18 15
supergroup1128 28 22
supergroup1129 8 7
supergroup1130 19 18
supergroup1131 8 8
supergroup1132 6 6
supergroup1133 23 23
supergroup1134 26 22
supergroup1135 33 33
supergroup1136 26 26
supergroup1137 29 28
supergroup1138 22 21
supergroup1139 31 30
supergroup1140 26 26
supergroup1141 30 29
supergroup1142 37 30
supergroup1143 11 11
supergroup1144 63 53
supergroup1145 8 8
supergroup1146 5 5
supergroup1147 24 24
supergroup1148 166 33
supergroup1149 3 3
supergroup1150 21 20
supergroup1151 34 29
supergroup1152 78 31
supergroup1153 70 30
supergroup1154 51 30
supergroup1155 44 44
supergroup1156 30 30
supergroup1157 22 22
supergroup1158 19 18
supergroup1159 20 19
supergroup1160 40 29
supergroup1161 26 26
supergroup1162 11 10
supergroup1163 30 30
supergroup1164 2 2
supergroup1165 52 31
supergroup1166 26 26
supergroup1167 5 5
supergroup1168 2 2
supergroup1169 76 57
supergroup1170 60 53
supergroup1171 5 4
supergroup1172 21 21
supergroup1173 10 10
supergroup1174 44 27
supergroup1175 28 28
supergroup1176 39 33
supergroup1177 31 31
supergroup1178 28 25
supergroup1179 5 5
supergroup1180 6 5
supergroup1181 4 4
supergroup1182 18 18
supergroup1183 18 18
supergroup1184 3 3
supergroup1185 9 9
supergroup1186 16 16
supergroup1187 6 5
supergroup1188 14 11
supergroup1189 2 2
supergroup1190 2 2
supergroup1191 51 23
supergroup1192 14 14
supergroup1193 4 4
supergroup1194 54 53
supergroup1195 4 4
supergroup1196 52 51
supergroup1197 3 3
supergroup1198 45 30
supergroup1199 4 4
supergroup1200 5 5
supergroup1201 3 3
supergroup1202 34 34
supergroup1203 26 26
supergroup1204 36 33
supergroup1205 31 31
supergroup1206 26 24
supergroup1207 9 6
supergroup1208 31 31
supergroup1209 42 42
supergroup1210 17 17
supergroup1211 9 9
supergroup1212 25 20
supergroup1213 8 8
supergroup1214 3 3
supergroup1215 29 29
supergroup1216 16 16
supergroup1217 9 9
supergroup1218 3 3
supergroup1219 14 12
supergroup1220 3 3
supergroup1221 5 5
supergroup1222 2 2
supergroup1223 21 19
supergroup1224 55 31
supergroup1225 33 33
supergroup1226 51 50
supergroup1227 15 15
supergroup1228 33 33
supergroup1229 54 24
supergroup1230 24 23
supergroup1231 3 3
supergroup1232 43 35
supergroup1233 17 16
supergroup1234 4 4
supergroup1235 28 28
supergroup1236 9 9
supergroup1237 92 32
supergroup1238 57 34
supergroup1239 3 3
supergroup1240 22 20
supergroup1241 41 33
supergroup1242 24 23
supergroup1243 7 7
supergroup1244 26 24
supergroup1245 13 12
supergroup1246 32 32
supergroup1247 30 30
supergroup1248 28 28
supergroup1249 18 18
supergroup1250 50 43
supergroup1251 24 23
supergroup1252 3 3
supergroup1253 13 13
supergroup1254 3 3
supergroup1255 66 33
supergroup1256 6 4
supergroup1257 26 25
supergroup1258 30 30
supergroup1259 46 28
supergroup1260 33 29
supergroup1261 2 2
supergroup1262 3 3
supergroup1263 31 31
supergroup1264 49 44
supergroup1265 3 3
supergroup1266 5 5
supergroup1267 30 30
supergroup1268 22 21
supergroup1269 4 4
supergroup1270 4 4
supergroup1271 9 9
supergroup1272 21 21
supergroup1273 4 3
supergroup1275 28 28
supergroup1276 18 17
supergroup1277 17 17
supergroup1278 53 27
supergroup1279 100 52
supergroup1280 33 33
supergroup1281 27 24
supergroup1282 21 21
supergroup1283 28 28
supergroup1284 28 28
supergroup1285 34 27
supergroup1286 4 4
supergroup1287 56 51
supergroup1288 31 27
supergroup1289 32 32
supergroup1290 19 17
supergroup1291 27 27
supergroup1292 20 20
supergroup1293 33 33
supergroup1294 27 25
supergroup1295 26 26
supergroup1296 28 28
supergroup1297 15 15
supergroup1298 11 11
supergroup1299 39 39
supergroup1300 4 4
supergroup1301 22 22
supergroup1302 4 4
supergroup1303 4 4
supergroup1304 17 16
supergroup1305 54 30
supergroup1306 61 61
supergroup1307 52 52
supergroup1308 4 4
supergroup1309 13 13
supergroup1310 34 32
supergroup1311 14 11
supergroup1312 4 4
supergroup1313 23 23
supergroup1314 16 16
supergroup1315 62 61
supergroup1316 7 7
supergroup1317 51 51
supergroup1318 29 29
supergroup1319 11 10
supergroup1320 6 4
supergroup1321 3 3
supergroup1322 36 29
supergroup1323 3 3
supergroup1324 29 26
supergroup1325 14 14
supergroup1326 32 32
supergroup1327 4 4
supergroup1329 11 10
supergroup1330 11 11
supergroup1331 30 27
supergroup1332 34 34
supergroup1333 55 34
supergroup1334 17 16
supergroup1335 6 6
supergroup1336 7 7
supergroup1337 18 18
supergroup1338 36 28
supergroup1339 7 7
supergroup1340 4 4
supergroup1341 46 46
supergroup1342 24 24
supergroup1343 12 11
